batch size,balanced head count,possible outcomes,possible balanced outcomes,calculated percentage,"observed percentage,",percentage error,time in seconds
 176, 88, 95780971304118053647396689196894323976171195136475136, 5752360192132899084263974476726389203829851399651328, 6.01%, 5.81%, 0.20%, 1.321678
 178, 89, 383123885216472214589586756787577295904684780545900544, 22880174247360070604548482465962213658186626484928512, 5.97%, 5.74%, 0.23%, 1.179503
 180, 90, 1532495540865888858358347027150309183618739122183602176, 91012248672832287406728742792412445099123856067526656, 5.94%, 5.94%, 0.00%, 1.341661
 182, 91, 6129982163463555433433388108601236734474956488734408704, 362048725489728432768557351445439913907632241729601536, 5.91%, 5.86%, 0.05%, 1.524391
 184, 92, 24519928653854221733733552434404946937899825954937634816, 1440324277491745782695120052440387561259504598882713600, 5.87%, 5.92%, 0.05%, 1.363147
 186, 93, 98079714615416886934934209737619787751599303819750539264, 5730322394321998977294548316851829294643083263938134016, 5.84%, 5.85%, 0.01%, 1.452612
 188, 94, 392318858461667547739736838950479151006397215279002157056, 22799367824217315760438787783393779652244035509417934848, 5.81%, 5.76%, 0.05%, 1.454388
 190, 95, 1569275433846670190958947355801916604025588861116008628224, 90717484605833105071306617909545105736659777030398672896, 5.78%, 5.49%, 0.29%, 1.382700
 192, 96, 6277101735386680763835789423207666416102355444464034512896, 360979990827377574138045258059885470478363585719841062912, 5.75%, 5.50%, 0.25%, 1.450529
 194, 97, 25108406941546723055343157692830665664409421777856138051584, 1436477076900698333923178491809288585641385298308236312576, 5.72%, 5.85%, 0.13%, 1.452312
 196, 98, 100433627766186892221372630771322662657637687111424552206336, 5716592448890534538025559599823267555746984381052513943552, 5.69%, 6.12%, 0.43%, 1.507673
 198, 99, 401734511064747568885490523085290650630550748445698208825344, 22750883079422935138508509184433581249481632457411272900608, 5.66%, 5.64%, 0.02%, 1.591214
 200, 100, 1606938044258990275541962092341162602522202993782792835301376, 90548514656103280680474743631187938442311687866457887080448, 5.63%, 5.71%, 0.08%, 1.586756
 202, 101, 6427752177035961102167848369364650410088811975131171341205504, 360401018730232857971731538133589763579441112288407708499968, 5.61%, 5.65%, 0.04%, 1.588503
 204, 102, 25711008708143844408671393477458601640355247900524685364822016, 1434537388279162145294826774334853631262982833813773992591360, 5.58%, 5.71%, 0.13%, 1.460502
 206, 103, 102844034832575377634685573909834406561420991602098741459288064, 5710294458198606774449388926973577401077369634414663357693952, 5.55%, 5.43%, 0.12%, 1.579831
 208, 104, 411376139330301510538742295639337626245683966408394965837152256, 22731364477829069234041384015857513469915126156722934816702464, 5.53%, 5.65%, 0.12%, 1.629645
 210, 105, 1645504557321206042154969182557350504982735865633579863348609024, 90492479540310009113869246010475801934513851113372651333091328, 5.50%, 5.73%, 0.23%, 1.551470
 212, 106, 6582018229284824168619876730229402019930943462534319453394436096, 360262512886894577942288046988047079492306857205117303341973504, 5.47%, 5.35%, 0.12%, 1.634098
 214, 107, 26328072917139296674479506920917608079723773850137277813577744384, 1434316172802028840282744377171782557386902103414005616676438016, 5.45%, 5.67%, 0.22%, 1.714022
 216, 108, 105312291668557186697918027683670432318895095400549111254310977536, 5710703280600670304795793217881247407455371447679583816196816896, 5.42%, 5.13%, 0.29%, 1.589869
 218, 109, 421249166674228746791672110734681729275580381602196445017243910144, 22738029575969640176924084949066934112846893863405363188436303872, 5.40%, 5.49%, 0.09%, 1.119043
 220, 110, 1684996666696914987166688442938726917102321526408785780068975640576, 90538699584315486225908794380755348045167773209873779095899209728, 5.37%, 5.71%, 0.34%, 0.497566
 222, 111, 6739986666787659948666753771754907668409286105635143120275902562304, 360523470416823814130684307160904344260116868561885960393898065920, 5.35%, 5.79%, 0.44%, 0.491430
 224, 112, 26959946667150639794667015087019630673637144422540572481103610249216, 1435655962552709052678617252027444255645118462078200155993240764416, 5.33%, 5.27%, 0.06%, 0.508111
 226, 113, 107839786668602559178668060348078522694548577690162289924414440996864, 5717214010165655681756232761868992221126777429453489104079435071488, 5.30%, 5.37%, 0.07%, 0.579830
 228, 114, 431359146674410236714672241392314090778194310760649159697657763987456, 22768554040484276840272943366148731659172767165385781430158505279488, 5.28%, 5.63%, 0.35%, 0.485080
 230, 115, 1725436586697640946858688965569256363112777243042596638790631055949824, 90678241309059123633678854119304192697599440634480439471932815966208, 5.26%, 5.41%, 0.15%, 0.605964
 232, 116, 6901746346790563787434755862277025452451108972170386555162524223799296, 361149547282632021931670713606984613292334537860034648094877501358080, 5.23%, 5.38%, 0.15%, 1.659688
 234, 117, 27606985387162255149739023449108101809804435888681546220650096895197184, 1438424692595782314875606580439997077435298481737310289466841691586560, 5.21%, 5.55%, 0.34%, 0.435549
 236, 118, 110427941548649020598956093796432407239217743554726184882600387580788736, 5729318690847607427947614714513832107686335447366245414481967615836160, 5.19%, 4.96%, 0.23%, 0.514037
 238, 119, 441711766194596082395824375185729628956870974218904739530401550323154944, 22820983692956016064304169155329607301623872597897018695395108544577536, 5.17%, 5.17%, 0.00%, 0.469311
 240, 120, 1766847064778384329583297500742918515827483896875618958121606201292619776, 90903585043608133108137805854151775791490335955451151593306444529664000, 5.14%, 5.04%, 0.10%, 0.491214
 242, 121, 7067388259113537318333190002971674063309935587502475832486424805170479104, 362111801578670398723702375380759179341167372288773503403200675852582912, 5.12%, 5.36%, 0.24%, 0.487431
 244, 122, 28269553036454149273332760011886696253239742350009903329945699220681916416, 1442510947272408277512547293593225276741302896947150922868716194051915776, 5.10%, 4.94%, 0.16%, 0.483578
 246, 123, 113078212145816597093331040047546785012958969400039613319782796882727665664, 5746588326532358051125153133284377853770446028332828552437254666059776000, 5.08%, 5.24%, 0.16%, 0.729282
 248, 124, 452312848583266388373324160190187140051835877600158453279131187530910662656, 22893666397636976487098249319378611825352026643946847066788173164086034432, 5.06%, 5.18%, 0.12%, 0.473391
 250, 125, 1809251394333065553493296640760748560207343510400633813116524750123642650624, 91208366928185717287391444390917710042695081903502787114395851672743051264, 5.04%, 4.91%, 0.13%, 0.862005
